P_id,start_time,end_time,mean_GSR,std_GSR,mean_HR,std_HR,mean_Valence,std_Valence,median_Valence,mean_Arousal,std_Arousal,median_Arousal,videoID,change_score,Valence,Arousal,Index
1,1.69581E+12,1.69581E+12,564.52,0.707,217.92,0.752,6.07,0,6.07,5.27,0,5.27,4,0.945968751,1,1,116
1,1.69581E+12,1.69581E+12,565.24,0.591,218.06,0.74,6.07,0,6.07,5.27,0,5.27,4,1.701384821,1,1,117
1,1.69581E+12,1.69581E+12,565.6,0.756,217.98,0.714,6.07,0,6.07,5.27,0,5.27,4,0.285422373,1,1,118
1,1.69581E+12,1.69581E+12,566.24,0.87,218.16,0.618,6.07,0,6.07,5.27,0,5.27,4,0.611094286,1,1,119
1,1.69581E+12,1.69581E+12,566.62,0.805,218.1,0.735,5.8,0,5.8,5.27,0,5.27,4,0.65048112,1,1,120
1,1.69581E+12,1.69581E+12,567.04,0.727,218.16,0.738,5.53,0,5.53,5.27,0,5.27,4,0.071009405,1,1,121
1,1.69581E+12,1.69581E+12,567.26,0.694,218.08,0.634,5.53,0,5.53,5.27,0,5.27,4,0.045611361,1,1,122
1,1.69581E+12,1.69581E+12,567.82,0.72,218.34,0.688,5.53,0,5.53,5.27,0,5.27,4,0.215112778,1,1,123
1,1.69581E+12,1.69581E+12,568.3,0.735,218.06,0.767,5.53,0,5.53,5.27,0,5.27,4,0.773427381,1,1,124
1,1.69582E+12,1.69582E+12,561.8,0.67,215.4,0.833,5,0,5,5,0,5,5,3.192705622,0,0,125
1,1.69582E+12,1.69582E+12,557,3.289,215.5,0.647,5.748,0.349,5.8,5.054,0.121,5,5,3.192705622,1,1,126
1,1.69582E+12,1.69582E+12,556.2,1.443,215.32,0.683,6.07,0,6.07,6.066,0.422,6.07,5,2.412149788,1,1,127
1,1.69582E+12,1.69582E+12,557.36,1.083,215.26,0.6,6.829,0.52,6.87,6.831,0.102,6.87,5,0.562531874,1,1,128
1,1.69582E+12,1.69582E+12,555.42,0.835,215.5,0.707,7.4,0,7.4,6.87,0,6.87,5,3.195018253,1,1,129
